rank,player_name,p_win_%,p_top10_%,p_mc_%
1,"Scheffler, Scottie",24.43,72.8,99.6
2,"Schauffele, Xander",4.87,35.9,97.8
3,"Fleetwood, Tommy",4.46,35.3,97.4
4,"McIlroy, Rory",4.37,34.9,97.5
5,"Henley, Russell",3.67,32.6,97.2
6,"Young, Cameron",2.73,25.9,96.4
7,"Griffin, Ben",2.61,25.1,96.2
8,"Hovland, Viktor",2.5,24.8,96.1
9,"Cantlay, Patrick",2.41,24.0,95.9
10,"MacIntyre, Robert",2.4,24.5,96.3
11,"Fitzpatrick, Matt",2.32,24.1,96.0
12,"Spaun, J.J.",2.26,25.1,96.1
13,"Aberg, Ludvig",2.24,24.8,96.0
14,"Morikawa, Collin",2.24,23.6,95.8
15,"Burns, Sam",2.06,22.6,95.7
16,"Bradley, Keegan",1.77,21.4,95.3
17,"Kim, Si Woo",1.66,20.9,95.1
18,"Rai, Aaron",1.56,18.7,94.7
19,"English, Harris",1.5,18.1,94.8
20,"Thomas, Justin",1.45,18.4,94.6
21,"McNealy, Maverick",1.43,18.3,94.8
22,"Matsuyama, Hideki",1.4,17.9,94.5
23,"Bhatia, Akshay",1.27,16.8,94.1
24,"Pendrith, Taylor",1.12,14.9,93.3
25,"Conners, Corey",1.06,15.4,93.6
26,"Lee, Min Woo",0.95,13.4,93.0
27,"Poston, J.T.",0.93,13.8,93.0
28,"Straka, Sepp",0.91,13.9,92.9
29,"Day, Jason",0.91,12.4,92.2
30,"Greyserman, Max",0.85,13.0,92.7
31,"Lowry, Shane",0.82,13.3,92.7
32,"Thompson, Davis",0.81,12.4,92.6
33,"Harman, Brian",0.77,12.5,92.6
34,"Kim, Michael",0.72,11.7,91.8
35,"Taylor, Nick",0.7,12.3,92.3
36,"Bezuidenhout, Christiaan",0.67,10.9,91.7
37,"Berger, Daniel",0.66,11.9,92.1
38,"McCarthy, Denny",0.62,11.3,91.7
39,"Glover, Lucas",0.61,9.4,90.8
40,"Kirk, Chris",0.61,10.4,91.4
41,"Im, Sungjae",0.58,9.8,91.0
42,"Zalatoris, Will",0.56,9.5,90.5
43,"Homa, Max",0.51,9.5,90.2
44,"Scott, Adam",0.51,9.9,90.7
45,"Stevens, Sam",0.5,9.3,90.5
46,"Clark, Wyndham",0.5,8.7,90.4
47,"An, Byeong Hun",0.5,8.6,90.1
48,"Bridgeman, Jacob",0.49,9.7,90.7
49,"Rose, Justin",0.45,8.8,90.3
50,"McGreevy, Max",0.44,7.6,89.6
51,"Eckroat, Austin",0.39,7.2,88.8
52,"Detry, Thomas",0.39,6.8,88.2
53,"Novak, Andrew",0.38,7.6,89.2
54,"Horschel, Billy",0.36,7.5,88.9
55,"Theegala, Sahith",0.24,6.0,87.7
56,"Hughes, Mackenzie",0.24,6.0,87.6
57,"Cole, Eric",0.19,4.7,85.5
58,"Rodgers, Patrick",0.17,5.5,86.9
59,"Salinda, Isaiah",0.17,4.5,85.0
60,"Jaeger, Stephan",0.17,4.5,86.0
61,"Finau, Tony",0.16,3.4,83.4
62,"Koivun, Jackson",0.16,4.5,85.5
63,"Kim, Tom",0.14,4.7,85.3
64,"Potgieter, Aldrich",0.12,3.3,83.8
65,"Davis, Cam",0.1,2.8,81.4
66,"Hadwin, Adam",0.09,2.4,80.1
67,"Hoge, Tom",0.05,2.0,78.9
68,"Campbell, Brian",0.04,1.8,77.7
69,"Pavon, Matthieu",0.03,1.3,74.7
70,"Highsmith, Joe",0.03,1.4,75.5
71,"Dunlap, Nick",0.02,0.9,70.9
72,"Campos, Rafael",0.01,0.5,66.8
